world,n_sell,sell_outliers,buy_outliers,first_sell
antica,953,0,0,2024-01-13
vunira,962,0,3,2024-01-13
nefera,960,0,0,2024-01-13
dia,952,9,8,2024-01-13
secura,944,0,0,2024-01-28
lobera,937,1,3,2024-02-08
inabra,919,1,30,2024-02-08
gladera,901,1,31,2024-02-08
belobra,898,0,15,2024-02-08
peloria,910,0,8,2024-02-29
calmera,879,3,3,2024-04-05
oceanis,844,9,8,2024-04-10
victoris,714,54,38,2024-04-15
harmonia,825,0,8,2024-05-30
astera,826,0,14,2024-05-30
talera,622,0,3,2024-12-30
serdebra,621,0,2,2024-12-30
thyria,621,0,1,2024-12-30
quidera,622,0,4,2024-12-30
ustebra,599,0,1,2024-12-30
monza,621,0,0,2024-12-30
xyla,623,0,5,2024-12-30
karmeya,622,0,0,2024-12-30
refugia,623,0,1,2024-12-30
wintera,605,0,5,2024-12-30
celesta,623,0,1,2024-12-30
gentebra,620,0,2,2024-12-30
ourobra,606,0,2,2024-12-31
solidera,621,0,3,2024-12-31
nevia,622,0,3,2024-12-31
honbra,622,0,8,2024-12-31
rasteibra,622,0,6,2024-12-31
bona,617,0,1,2024-12-31
descubra,621,0,2,2024-12-31
pacera,621,0,6,2024-12-31
bravoria,370,0,1,2025-08-27
etebra,368,1,1,2025-08-27
kalimera,335,32,17,2025-08-27
luzibra,336,28,17,2025-08-27
issobra,372,1,6,2025-08-27
yovera,371,0,0,2025-08-27
venebra,374,0,3,2025-08-27
collabra,373,0,0,2025-08-27
yubra,368,0,3,2025-08-27
sonira,351,16,17,2025-08-27
stralis,314,17,19,2025-08-28
ferobra,381,0,13,2025-08-28
premia,177,0,3,2025-09-02
noctalia,334,27,30,2025-09-02
celebra,367,0,9,2025-09-02
aethera,343,23,42,2025-09-02
menera,364,0,9,2025-09-02
cantabra,353,12,23,2025-09-02
kalibra,367,0,9,2025-09-02
unebra,363,3,2,2025-09-02
yonabra,359,0,2,2025-09-02
jadebra,362,0,4,2025-09-02
ignitera,352,15,18,2025-09-02
lutabra,354,3,28,2025-09-03
tornabra,363,0,1,2025-09-03
ombra,362,0,1,2025-09-03
firmera,364,0,7,2025-09-03
quelibra,367,0,0,2025-09-03
havera,364,0,2,2025-09-03
quintera,364,0,1,2025-09-03
epoca,359,3,9,2025-09-03
retalia,360,0,27,2025-09-03
gladibra,364,1,8,2025-09-04
penumbra,317,36,33,2025-09-04
xybra,348,15,25,2025-09-04
escura,298,42,46,2025-09-04
luminera,364,0,5,2025-09-04
mystera,274,46,29,2025-09-07
blumera,301,0,7,2025-11-06
kalanta,298,1,4,2025-11-06
xymera,299,0,1,2025-11-06
terribra,299,0,26,2025-11-06
monstera,296,2,1,2025-11-06
sombra,298,2,14,2025-11-06
citra,300,1,2,2025-11-06
tempestera,292,9,6,2025-11-07
eclipta,298,1,0,2025-11-07
idyllia,203,14,9,2026-01-31
hostera,195,21,20,2026-01-31
dracobra,203,9,12,2026-01-31
zunera,113,5,6,2026-05-06
ignibra,108,8,10,2026-05-06
zuna,111,4,8,2026-05-07
kanda,117,3,6,2026-05-07
opulera,114,7,19,2026-05-08
floribra,101,5,7,2026-05-22
maligna,93,13,18,2026-05-22
junera,86,16,17,2026-05-23
