group,n,pre_mean,pre_p,pre_placebo_median,pre_share_pos,during_mean,during_p,during_placebo_median,during_share_pos,post7_mean,post7_p,post7_placebo_median,post7_share_pos,post30_mean,post30_p,post30_placebo_median,post30_share_pos,activity_mean,activity_p,activity_placebo_median,activity_share_pos,pre_q,during_q,post7_q
Full Moon,29,0.18,0.944,0.19,0.59,0.05,0.828,0.09,0.59,0.34,0.691,0.23,0.59,0.77,0.772,1.0,0.48,-0.24,0.276,2.26,0.45,0.962,0.939,0.939
Last Creep Standing,23,0.37,0.505,0.17,0.52,0.02,0.524,0.19,0.48,0.19,0.848,0.25,0.57,1.28,0.678,0.92,0.73,1.15,0.622,2.34,0.3,0.939,0.939,0.939
Evento do mês (Carnival/Prank/Flower/Hot Cuisine/Double Daily Reward/Chyllfroest),14,0.65,0.266,0.25,0.86,1.17,0.846,0.96,0.64,0.17,0.872,0.23,0.64,3.7,0.02,0.98,0.77,-1.71,0.006,3.02,0.5,0.858,0.939,0.939
XP/Skill Event,14,-0.99,0.003,0.2,0.14,0.42,0.264,0.1,0.64,0.14,0.814,0.23,0.57,2.52,0.164,0.97,0.64,42.84,0.0,2.1,1.0,0.126,0.858,0.939
Rapid Respawn,11,0.31,0.792,0.2,0.64,-0.09,0.569,0.09,0.64,0.22,0.962,0.24,0.36,0.73,0.82,0.99,0.55,5.9,0.356,2.05,0.55,0.939,0.939,0.962
Exaltation Overload,7,0.81,0.252,0.19,0.71,0.02,0.872,0.08,0.71,0.38,0.798,0.24,0.71,-0.18,0.47,0.99,0.43,0.52,0.835,1.51,0.71,0.858,0.939,0.939
Annual Autumn Vintage,4,0.92,0.286,0.15,0.75,-0.49,0.312,0.27,0.5,-0.32,0.426,0.23,0.25,-3.65,0.027,1.01,0.0,0.33,0.706,2.44,0.5,0.858,0.874,0.939
Colours of Magic,4,0.7,0.494,0.24,0.75,1.42,0.178,0.29,0.75,1.42,0.086,0.16,0.75,1.77,0.652,0.85,0.75,-5.54,0.042,2.02,0.0,0.939,0.858,0.722
Orcsoberfest,4,-0.13,0.704,0.13,0.5,-0.11,0.654,0.22,0.5,-0.42,0.353,0.24,0.5,-3.42,0.044,0.84,0.25,-3.38,0.222,2.16,0.0,0.939,0.939,0.927
Spring into Life,3,-0.42,0.448,0.15,0.0,-0.25,0.546,0.24,0.33,0.59,0.636,0.24,0.33,2.7,0.505,1.01,1.0,1.47,0.912,2.16,0.33,0.939,0.939,0.939
Demon's Lullaby,3,1.19,0.231,0.17,1.0,-1.01,0.129,0.24,0.33,1.31,0.188,0.21,1.0,0.49,0.848,0.96,0.67,-4.4,0.193,2.17,0.0,0.858,0.858,0.858
Skill Event (junho),3,-1.55,0.034,0.17,0.0,-1.24,0.044,0.08,0.33,-0.2,0.618,0.21,0.33,-0.07,0.642,1.05,0.67,26.31,0.016,0.25,1.0,0.504,0.504,0.939
Bewitched,3,0.44,0.786,0.23,0.67,-0.21,0.562,0.11,0.33,-1.5,0.048,0.2,0.33,1.11,0.938,0.94,0.67,-1.35,0.746,0.44,0.33,0.939,0.939,0.504
Summer Update,3,0.14,0.942,0.19,0.67,0.22,0.461,0.02,0.67,1.08,0.268,0.16,0.67,5.38,0.062,0.85,1.0,-1.58,0.786,0.42,0.33,0.962,0.939,0.858
Rise of Devovorga,2,-0.79,0.284,0.22,0.0,-0.12,0.72,0.2,0.5,1.18,0.322,0.21,1.0,6.79,0.044,0.94,1.0,31.02,0.006,0.78,1.0,,,
Valentine's Day,2,0.52,0.74,0.2,1.0,-0.14,0.693,0.04,0.0,-0.29,0.546,0.25,0.0,-1.6,0.391,0.93,0.0,1.55,0.84,-0.1,0.5,,,
Halloween Event,2,-0.74,0.312,0.21,0.0,-0.86,0.166,0.09,0.0,-1.9,0.05,0.21,0.0,-3.28,0.154,0.95,0.0,4.08,0.602,0.04,1.0,,,
Christmas,2,-0.36,0.546,0.19,0.5,-1.72,0.249,0.65,0.5,-0.78,0.294,0.25,0.5,-1.32,0.464,0.87,0.5,13.59,0.062,2.9,1.0,,,
Lightbearer,2,-2.0,0.04,0.22,0.0,-0.46,0.433,0.12,0.5,0.58,0.638,0.17,1.0,-3.72,0.13,0.97,0.0,5.83,0.495,-0.11,1.0,,,
New Year,2,-2.3,0.016,0.16,0.0,2.06,0.106,0.23,1.0,0.04,0.832,0.24,0.5,2.19,0.675,0.95,1.0,5.38,0.676,1.42,0.5,,,
Tibia Anniversary,2,-0.18,0.694,0.17,0.5,-0.03,0.848,0.1,0.5,0.57,0.673,0.21,1.0,3.68,0.364,0.93,1.0,1.04,0.88,0.01,0.5,,,
The First Dragon,2,-0.12,0.722,0.18,0.5,4.06,0.328,1.04,1.0,0.02,0.824,0.22,0.5,-0.34,0.638,1.06,0.5,2.77,0.969,2.95,1.0,,,
Winterlight Solstice,2,-1.28,0.137,0.19,0.0,-0.8,0.5,0.6,0.5,0.22,0.998,0.22,1.0,2.14,0.651,0.85,1.0,16.18,0.018,2.66,1.0,,,
Double Daily Reward Month,2,-0.66,0.302,0.26,0.0,-0.89,0.542,0.85,0.5,0.43,0.82,0.21,1.0,-2.26,0.274,0.96,0.0,8.22,0.253,3.01,1.0,,,
A Piece of Cake,2,-0.24,0.654,0.17,0.0,-0.71,0.297,0.17,0.0,-0.71,0.341,0.2,0.0,-0.62,0.61,0.85,0.5,12.3,0.28,0.55,1.0,,,
