server_day,indice_71_mundos,mundos_no_dia,negocios_soma,I_BR,I_EU,I_NA
2024-01-13,35608.0,4.0,1628.0,,34973.0,
2024-01-14,,,,,,
2024-01-15,,,,,,
2024-01-16,35628.0,4.0,1456.0,,34566.0,
2024-01-17,35765.0,4.0,1327.0,,34413.0,
2024-01-18,,,,,,
2024-01-19,,,,,,
2024-01-20,36004.0,4.0,1650.0,,34697.0,
2024-01-21,35862.0,4.0,1462.0,,34659.0,
2024-01-22,35850.0,4.0,1400.0,,34739.0,
2024-01-23,36420.0,4.0,1353.0,,35675.0,
2024-01-24,,,,,,
2024-01-25,36161.0,4.0,1342.0,,35372.0,
2024-01-26,,,,,,
2024-01-27,36236.0,4.0,1438.0,,34995.0,
2024-01-28,36878.0,5.0,1935.0,,35557.0,
2024-01-29,36851.0,5.0,1662.0,,35744.0,
2024-01-30,36894.0,5.0,1748.0,,35753.0,
2024-01-31,36741.0,5.0,1754.0,,35584.0,
2024-02-01,37041.0,5.0,1697.0,,35765.0,
2024-02-02,36860.0,5.0,1885.0,,35631.0,
2024-02-03,37077.0,5.0,1940.0,,36354.0,
2024-02-04,36903.0,5.0,1941.0,,36241.0,
2024-02-05,36896.0,5.0,1530.0,,36159.0,
2024-02-06,36567.0,5.0,1518.0,,35902.0,
2024-02-07,37228.0,4.0,1711.0,,36105.0,
2024-02-08,37128.0,8.0,2884.0,,36719.0,37062.0
2024-02-09,37115.0,8.0,3155.0,,36086.0,37616.0
2024-02-10,36804.0,9.0,3048.0,,35921.0,37998.0
2024-02-11,36654.0,9.0,3082.0,,35768.0,37968.0
2024-02-12,36714.0,9.0,3038.0,,35762.0,38008.0
2024-02-13,37046.0,9.0,2938.0,,36076.0,37958.0
2024-02-14,36850.0,9.0,3018.0,,35907.0,38322.0
2024-02-15,36728.0,9.0,3003.0,,35673.0,38245.0
2024-02-16,36635.0,9.0,3233.0,,35375.0,38303.0
2024-02-17,36289.0,9.0,3350.0,,35531.0,38272.0
2024-02-18,36066.0,9.0,3229.0,,35193.0,38415.0
2024-02-19,36066.0,9.0,3140.0,,35176.0,38409.0
2024-02-20,36116.0,9.0,3009.0,,35088.0,38536.0
2024-02-21,36585.0,9.0,2819.0,,35357.0,38461.0
2024-02-22,36343.0,9.0,3221.0,,35117.0,38850.0
2024-02-23,36139.0,9.0,3492.0,,34911.0,38757.0
2024-02-24,36037.0,9.0,3575.0,,35084.0,38054.0
2024-02-25,36186.0,9.0,3517.0,,35355.0,37883.0
2024-02-26,35835.0,9.0,4078.0,,34985.0,37210.0
2024-02-27,36959.0,4.0,1699.0,,,
2024-02-28,35731.0,9.0,3734.0,,34870.0,38331.0
2024-02-29,35517.0,10.0,4992.0,,34755.0,38076.0
2024-03-01,35340.0,5.0,3187.0,,,
2024-03-02,35715.0,8.0,3035.0,,34174.0,37518.0
