,log_premium
xybra,-0.11908554164971186
cantabra,-0.09548864329142503
tempestera,-0.035781851322516545
antica,-0.02893951531732597
lobera,-0.028788690009699636
retalia,-0.027601667064233837
peloria,-0.026204152968361427
thyria,-0.024720990039403645
vunira,-0.024678492990748424
eclipta,-0.024581160953237813
xyla,-0.023124032662881433
citra,-0.023092226320596154
quidera,-0.021838121825746626
solidera,-0.02099688295017721
kalanta,-0.018497793915775773
wintera,-0.01806505109268919
talera,-0.01692249340229246
premia,-0.013834685132827929
havera,-0.013786124346212958
inabra,-0.013566994663015919
monstera,-0.013131177410331318
dia,-0.012787852316645143
gladibra,-0.012658668853859467
rasteibra,-0.010688264132134861
terribra,-0.010402233718608045
ourobra,-0.009252092294024905
jadebra,-0.00873147606890079
serdebra,-0.008554337760228847
honbra,-0.008334756831429146
quelibra,-0.007743600633277836
quintera,-0.00639641833293858
ferobra,-0.006394409369125498
ombra,-0.0053433787963665935
xymera,-0.0027438888243374038
bravoria,-7.809603154207423e-05
tornabra,0.0
yovera,0.002611414199103379
blumera,0.007163781950326964
unebra,0.008141946162650626
lutabra,0.008622197787417463
firmera,0.010744500011023561
nevia,0.012340835470277867
epoca,0.01505600638431659
venebra,0.015191386393489381
collabra,0.016342959801077583
etebra,0.01820267789203278
karmeya,0.018733693132766405
issobra,0.01947107462991049
yubra,0.02689346403948356
ustebra,0.03732849170253161
descubra,0.040732211785917016
sombra,0.05918465790090899
refugia,0.07089076053431675
harmonia,0.07275970757669725
bona,0.0727715689360835
pacera,0.07476251667957179
monza,0.07548285422839918
celesta,0.07581214303000294
calmera,0.08033221347306885
secura,0.08197051120265719
kalibra,0.08198504009946639
yonabra,0.08432998218339982
astera,0.08460903277140552
gladera,0.08564589325108685
nefera,0.0860777278400171
luminera,0.08693154970341332
gentebra,0.08743885536260443
menera,0.08964840363111115
celebra,0.09011744853540371
belobra,0.0936664942741956
oceanis,0.09569069875530012
