,log_premium
maligna,-1.2529014381855728
junera,-1.2025229565626105
mystera,-1.163401866575164
floribra,-1.1078311162310417
escura,-0.9430046787779709
victoris,-0.8817355435988468
opulera,-0.8761735009751614
kanda,-0.8539558984702538
ignibra,-0.6954024363599096
stralis,-0.6752904178421719
hostera,-0.654337950416986
dracobra,-0.5863507516485988
penumbra,-0.540933053884654
noctalia,-0.5207528185472299
kalimera,-0.5120219457772972
idyllia,-0.4818347351883592
luzibra,-0.436639137295014
sonira,-0.385141146074659
aethera,-0.2812765546780298
ignitera,-0.19128487080910261
xybra,-0.10854294466347802
cantabra,-0.08677070817590682
tempestera,-0.02659177309510241
antica,-0.019712672213978877
retalia,-0.019216561757245287
lobera,-0.019100992320275623
peloria,-0.016520881768439466
eclipta,-0.016395353449484062
citra,-0.015926184635087992
vunira,-0.015454636706749625
thyria,-0.014932137239076937
xyla,-0.014882510683957406
quidera,-0.013223449401442267
kalanta,-0.011253420762992405
solidera,-0.011238503252251064
wintera,-0.008307704498928814
talera,-0.007647449046110921
dia,-0.005829517275616425
havera,-0.005412713663298874
premia,-0.0052991901664523056
monstera,-0.00390536654995266
inabra,-0.003895157708814878
gladibra,-0.0031601594609753647
rasteibra,-0.0015749266352820257
terribra,-0.0011103359851851735
jadebra,-0.0006447841727936776
ourobra,0.0
honbra,0.00029718605652107044
serdebra,0.0010006331181813266
quelibra,0.0012986655321753915
ferobra,0.002528629611823874
quintera,0.002875924056766621
ombra,0.003938986682227252
xymera,0.004678606938568919
bravoria,0.0070651118021309856
tornabra,0.008283066675243589
yovera,0.009286815184312402
blumera,0.015476624206446132
unebra,0.01592449223185355
firmera,0.01806333049978015
lutabra,0.019284394954944162
epoca,0.021869164820470743
nevia,0.023101221122248106
collabra,0.02343971342050466
venebra,0.024066360266040476
issobra,0.02543447950559674
etebra,0.02688238696702072
karmeya,0.029127490306848358
yubra,0.03637503526471875
ustebra,0.04809432955108761
descubra,0.05074021645314275
sombra,0.06744280509943934
refugia,0.08035662262112808
bona,0.08180605261136975
harmonia,0.08198416314362333
pacera,0.08374540550254927
monza,0.0843340292305168
celesta,0.08518007180575182
calmera,0.09027807225665896
kalibra,0.09103538411134693
secura,0.09154820179565704
yonabra,0.09256362242220284
astera,0.09447373658238334
nefera,0.09527458839833969
gladera,0.0956682621145788
luminera,0.09570034206262434
gentebra,0.09643959282993109
menera,0.09830641540768248
celebra,0.09863983317077896
belobra,0.10305788675615091
oceanis,0.10519398548855285
zuna,0.32261437233050216
zunera,0.3810466715845813
